609 1832
2525 1486
937 3059
1603 1129
708 2495
558 2502
3004 2633
2609 1921
2744 994
926 2954
51 614
2890 448
708 1794
2158 1148
2609 2133
1250 1617
3004 1969
558 699
722 129
2158 436
2336 2844
1994 1907
2357 2251
11 1418
3004 2320
563 371
1250 436
1218 1965
703 616
2623 1476
1584 2223
3004 1798
1544 1965
2158 329
2623 871
3032 2311
2609 1126
563 2748
604 715
11 527
11 1455
3032 2251
1994 1965
604 1965
1544 329
948 2748
2158 2130
2005 1396
2424 871
2732 835
1994 2454
1250 528
948 2506
2158 152
1994 2045
1456 749
2357 217
1975 1857
1544 1990
722 807
937 2639
926 1373
703 55
1975 55
2861 2045
2357 2191
1964 205
2623 2639
2732 55
680 1274
2005 476
1544 205
2336 618
609 582
1603 922
1603 702
3032 152
2732 702
1964 1331
558 152
1975 1023
2890 1303
811 205
2336 2045
937 1844
3004 1804
680 518
104 1401
1544 1582
3032 1420
3032 2857
3004 774
11 815
703 2787
2890 2292
1872 709
11 1826
1599 1730
722 2787
937 518
2369 1687
1599 1886
2890 1210
1603 1687
3004 2924
708 2050
2369 2924
1227 1826
51 2933
948 2626
722 2607
2744 2787
2623 2198
926 2198
1456 255
2424 2857
1994 840
558 2292
2336 87
51 960
1603 2042
1872 338
2158 1005
2609 1406
1218 2643
2158 233
2609 986
1599 1520
2369 1406
2424 340
1584 2944
722 1554
1584 281
2369 1052
1603 970
1462 2368
104 2024
1544 2024
2424 738
937 694
722 2449
948 694
604 2024
722 3046
1227 738
604 391
1162 2944
1975 1145
1975 1981
2005 339
51 2667
1772 1052
1218 1041
1964 1308
1975 1426
680 2811
1584 306
1872 824
1456 1125
186 1298
1584 2807
937 2914
2935 1426
1227 1555
3004 1182
2369 71
1218 2907
104 824
1162 2756
104 907
2890 2914
51 1341
609 824
609 1077
1975 84
1218 759
2732 824
2623 1535
51 48
1723 319
2744 907
1723 2595
3032 1847
1544 2756
1162 1369
2336 1318
1603 319
926 2242
2525 1634
948 2060
722 2301
1162 438
11 3039
11 1873
563 12
1227 1685
2357 1685
811 493
2005 3060
3004 108
1584 438
1603 2646
722 2974
1544 1268
2357 2301
2609 1634
703 3039
937 3039
1994 1518
1723 1410
558 2114
2005 1268
1599 2842
1544 462
2357 493
2357 627
2005 1873
1964 627
51 2968
1162 1561
1250 1670
186 2301
1162 1685
708 145
708 2114
1994 1179
1462 247
2861 2586
2890 2114
937 1680
2525 2974
1975 108
1227 776
708 2730
558 648
2357 1087
2369 16
2369 799
1599 1933
2424 688
2609 1105
3004 3028
609 1959
186 1963
1772 2250
926 1067
2861 2736
1456 1007
811 2126
1250 2992
1544 893
2935 1190
609 1562
1872 1472
2744 1601
1603 1143
2357 1067
1872 2293
1964 2443
1964 1562
1599 2250
2744 2736
51 2443
2424 1143
1975 786
1218 968
703 950
3004 466
708 1491
2732 135
1603 1135
2357 929
2525 362
609 632
2890 1397
1584 1397
1599 1112
3032 362
680 362
1964 21
680 800
3032 1243
1462 2521
926 2521
2623 119
722 1813
1975 2285
2623 622
948 2285
1162 2175
1456 2686
1544 522
1603 390
948 2257
680 993
811 763
1994 2547
1544 2333
1975 1021
926 178
708 993
2732 111
948 2774
2609 916
