1119 558
935 2059
609 2283
2517 2574
781 488
2812 2210
2431 1238
2478 1163
2260 44
2245 75
1807 2041
96 295
609 488
1785 598
1588 1606
439 1606
1690 2692
1141 471
2077 1595
2260 1194
2930 271
620 44
609 2574
2874 87
1182 87
2638 299
994 395
401 692
2517 1915
1945 1907
2517 2081
620 3026
1141 1898
1297 2523
656 87
1690 458
787 87
337 1907
1588 77
2431 1917
96 1907
2638 2583
1064 2130
2260 1125
1236 930
337 2081
2260 3027
873 1253
2478 2800
2812 1253
2245 1253
797 1922
72 1223
2874 345
2812 363
2812 27
656 1854
994 923
1711 1300
2432 2486
1182 2634
1119 1300
656 78
1182 432
1182 669
2432 1232
1711 432
96 1621
96 1957
2260 2368
1309 1333
2249 1694
2478 2680
1563 1600
2517 3035
1119 1993
563 1529
609 2643
1297 1109
1309 1853
873 3060
2077 2900
1297 1993
1297 2680
1711 1207
994 1657
1346 1694
2431 510
2432 2680
1119 3060
2874 478
935 2612
1309 2264
1563 496
935 232
2431 2807
1020 2725
563 142
2874 2725
2874 2012
1141 33
401 2886
1816 1409
1711 142
2245 138
2478 1888
846 2838
96 232
1236 138
72 288
1567 2676
1567 682
563 496
656 1330
1816 1857
337 2374
1945 1921
96 1324
1567 15
72 2426
1020 1924
873 1315
1690 2120
609 475
1119 2003
96 1493
1182 2003
1297 2712
994 1315
1119 744
2249 1313
1690 2003
96 1708
1563 1390
2245 744
1816 530
1690 3000
2431 120
787 2685
873 1513
1690 48
787 3013
1945 2254
2564 872
1690 2254
609 242
337 2757
401 2685
609 143
873 2461
1563 2624
2260 2685
401 2350
1141 143
620 648
1236 2429
1567 2757
1346 2291
1567 1513
1141 1513
72 2924
2245 1278
2638 2793
72 2148
72 1367
2431 2148
2564 1780
781 3042
1119 1780
2434 1794
2478 757
1816 3
1297 1615
2478 450
1236 2285
1807 2148
1785 733
1236 757
1346 1367
2245 1699
2431 2285
2260 1402
620 624
1945 1433
439 1923
1785 672
1141 2013
563 2080
994 81
1785 1782
781 3017
401 213
2434 550
2930 163
2077 472
2260 119
1567 1782
2812 124
1711 81
2638 1923
1297 1164
2517 1519
1567 539
1785 2296
2431 2615
1020 268
1690 1049
2077 1094
1182 2373
1807 1759
439 2498
2874 2490
609 1909
2812 1904
787 2746
72 2909
1119 2915
2517 1017
2478 2340
1297 1766
1785 1684
873 2414
337 2340
781 1035
781 1769
2564 2263
935 2414
1141 1173
2249 267
797 13
1297 1705
2077 2046
1020 2046
1236 2677
873 1583
873 2575
2812 2861
1690 1830
1182 1865
1297 495
2431 3023
1119 2897
1711 2737
